,City or municipality,Population (2020) ,Area (km2),PD (2020),Brgy.,Class,Province
0,Cabadbaran,80354,214.44,374.72,31,CC,Agusan del Norte
1,Bayugan,109499,688.77,158.98,43,CC,Agusan del Sur
2,Legazpi,209533,153.7,1363.26,70,CC,Albay
3,Ligao,118096,246.75,478.61,55,CC,Albay
4,Tabaco,140961,117.14,1203.35,47,CC,Albay
5,Isabela,130379,223.73,582.75,45,CC,Basilan
6,Lamitan,100150,354.45,282.55,45,CC,Basilan
7,Balanga,104173,111.63,933.2,25,CC,Bataan
8,Batangas City,351437,282.96,1242,107,CC,Batangas
9,Lipa,372931,209.4,1780.95,72,CC,Batangas
10,Santo Tomas,218500,95.41,2290.12,30,CC,Batangas
11,Tanauan,193936,107.16,1809.78,48,CC,Batangas
12,Tagbilaran,104976,36.5,2876.05,15,CC,Bohol
13,Malaybalay,190712,969.19,196.77,46,CC,Bukidnon
14,Valencia,216546,587.29,368.72,31,CC,Bukidnon
15,Malolos,261189,67.25,3883.85,51,CC,Bulacan
16,Meycauayan,225673,32.1,7030.31,26,CC,Bulacan
17,San Jose del Monte,651813,105.53,6176.57,59,CC,Bulacan
18,Tuguegarao,166334,144.8,1148.72,49,CC,Cagayan
19,Iriga,114457,137.35,833.32,36,CC,Camarines Sur
20,Roxas,179292,95.07,1885.89,47,CC,Capiz
21,Bacoor,664625,46.17,14395.17,73,CC,Cavite
22,Cavite City,100674,10.89,9244.63,84,CC,Cavite
23,Dasmariñas,703141,90.13,7801.41,75,CC,Cavite
24,General Trias,450583,81.46,5531.34,33,CC,Cavite
25,Imus,496794,64.7,7678.42,97,CC,Cavite
26,Tagaytay,85330,65,1312.77,34,CC,Cavite
27,Trece Martires,210503,39.1,5383.71,13,CC,Cavite
28,Bogo,88867,103.52,858.45,29,CC,Cebu
29,Carcar,136453,116.78,1168.46,15,CC,Cebu
30,Danao,156321,107.3,1456.86,42,CC,Cebu
31,Naga,133184,101.97,1306.11,28,CC,Cebu
32,Talisay,263048,39.87,6597.64,22,CC,Cebu
33,Toledo,207314,216.28,958.54,38,CC,Cebu
34,Kidapawan,160791,358.47,448.55,40,CC,Cotabato
35,Panabo,209230,251.23,832.82,40,CC,Davao del Norte
36,Samal,116771,301.3,387.56,46,CC,Davao del Norte
37,Tagum,296202,195.8,1512.78,23,CC,Davao del Norte
38,Digos,188376,287.1,656.13,26,CC,Davao del Sur
